Entity,Day,total_vaccinations
Arkansas,2/22/21,535413
Arkansas,2/23/21,540192
Arkansas,2/24/21,554466
Arkansas,2/25/21,572553
Arkansas,2/26/21,597990
Arkansas,2/27/21,622665
Arkansas,2/28/21,649311
Arkansas,3/1/21,661572
Arkansas,3/2/21,670815
Arkansas,3/3/21,687433
Arkansas,3/4/21,704368
Arkansas,3/5/21,723756
Arkansas,3/6/21,744139
Arkansas,3/7/21,765260
Arkansas,3/8/21,773357
Arkansas,3/9/21,782750
Arkansas,3/10/21,799184
Arkansas,3/11/21,800091
Arkansas,3/12/21,836608
Arkansas,3/13/21,882630
Arkansas,3/14/21,882630
Arkansas,3/15/21,892588
Arkansas,3/16/21,897059
Arkansas,3/17/21,912660
Arkansas,3/18/21,929862
Arkansas,3/19/21,952919
Arkansas,3/20/21,974973
Arkansas,3/21/21,999488
Arkansas,3/22/21,1008575
Arkansas,3/23/21,1012415
Arkansas,3/24/21,1032499
Arkansas,3/25/21,1056307
Arkansas,3/26/21,1086176
Arkansas,3/27/21,1114449
Arkansas,3/28/21,1143893
Arkansas,3/29/21,1153739
Arkansas,3/30/21,1159108
Arkansas,3/31/21,1183295
Arkansas,4/1/21,1209965
Arkansas,4/2/21,1244076
Arkansas,4/3/21,1305535
Arkansas,4/4/21,1306811
Arkansas,4/5/21,1316063
Arkansas,4/6/21,1325141
Arkansas,4/7/21,1351223
Arkansas,4/8/21,1379591
Arkansas,4/9/21,1405741
Arkansas,4/10/21,1440169
Bureau of Prisons,1/12/21,14663
Bureau of Prisons,1/13/21,15694
Bureau of Prisons,1/14/21,16118
Bureau of Prisons,1/15/21,16685
Bureau of Prisons,1/19/21,17628
Bureau of Prisons,1/20/21,19076
Bureau of Prisons,1/21/21,20838
Bureau of Prisons,1/22/21,21315
Bureau of Prisons,1/23/21,23345
Bureau of Prisons,1/24/21,24082
Bureau of Prisons,1/25/21,24360
Bureau of Prisons,1/26/21,25513
Bureau of Prisons,1/27/21,27326
Bureau of Prisons,1/28/21,28514
Bureau of Prisons,1/29/21,29754
Bureau of Prisons,1/30/21,30945
Bureau of Prisons,1/31/21,31285
Bureau of Prisons,2/1/21,31285
Bureau of Prisons,2/2/21,32349
Bureau of Prisons,2/3/21,34255
Bureau of Prisons,2/4/21,36195
Bureau of Prisons,2/5/21,38164
Bureau of Prisons,2/6/21,39616
Bureau of Prisons,2/7/21,40333
Bureau of Prisons,2/8/21,40333
Bureau of Prisons,2/9/21,41040
Bureau of Prisons,2/10/21,42751
Bureau of Prisons,2/11/21,44177
Bureau of Prisons,2/12/21,45617
Bureau of Prisons,2/13/21,46926
Bureau of Prisons,2/14/21,47564
Bureau of Prisons,2/16/21,48090
Bureau of Prisons,2/17/21,48614
Bureau of Prisons,2/18/21,49050
Bureau of Prisons,2/19/21,49913
Bureau of Prisons,2/20/21,51072
Bureau of Prisons,2/21/21,52266
Bureau of Prisons,2/22/21,52347
Bureau of Prisons,2/23/21,52743
Bureau of Prisons,2/24/21,53728
Bureau of Prisons,2/25/21,55100
Bureau of Prisons,2/26/21,57396
Bureau of Prisons,2/27/21,59234
Bureau of Prisons,2/28/21,60283
Bureau of Prisons,3/1/21,60283
Bureau of Prisons,3/2/21,61002
Bureau of Prisons,3/3/21,62745
Bureau of Prisons,3/4/21,66375
Bureau of Prisons,3/5/21,70129
Bureau of Prisons,3/6/21,71759
